name,movie_title,number_of_lines,age_bracket,profession,religion,country_of_origin,additional_info,quote,annotated,speaker_id,movie_id,gender,description,source
bateman,american psycho,362,Adult,Wall Street Investment Banker,Unknown,USA,Played by Christian Bale. Film adapted by a novel with the same name by Bret Easton Ellis. Set in New York in the late 80s. Stream of conscienceness narrative. ,I like to dissect girls. Did you know I'm utterly insane?,True,u327,m20,A man,"Bateman is the ultimate stereotype of yuppie (young urban professionals) greed: rich, shallow, and addicted to sex, drugs, and conspicuous consumption. All his friends look alike to him, to the point that he often confuses one for another, and they often confuse him for other people. Bateman takes delight in obsessively detailing virtually every single feature of his always designer clothes, workout routine, business cards, alcoholic drinks, as well as his elaborate high-end stereo and home theater sound system. He is engaged to an equally rich, shallow woman named Evelyn Richards. They can't stand each other, but they stay together for the sake of their social lives. He has a mistress on the side (the fiancee of a gay colleague whom he holds in great contempt and who makes repeated, hapless sexual advances towards Bateman) and has regular liaisons with prostitutes and women he encounters at clubs, many of whom end up being his victims. The one woman (and possibly the one person) in his life he has anything approaching feelings for is his secretary, Jean. He just cannot bring himself to seduce, rape or kill her, perhaps because she is the only person in his life who is not completely shallow. He casually acknowledges her as ""Jean, my secretary who is in love with me"" and introduces her in the narration as someone whom he ""will probably end up married to someday"".

Bateman often expresses doubts regarding his own sanity and he has periodic attacks of psychosis, during which he hallucinates. Bateman is therefore an unreliable narrator. He often experiences feelings of depersonalization. Bateman kills more or less indiscriminately, with no preferred type of victim and no consistent or preferred method of killing. Bateman kills many of his victims because they make him feel inadequate, usually by having better taste than he does. His friends mock him as the ""boy next door"", his own lawyer refers to him as a ""bloody ass-kisser... a brown-nosing goody-goody"", and he is often dismissed as ""yuppie trash"" by people outside his social circle.

Periodically, he matter-of-factly confesses his crimes to his friends, co-workers, and even complete strangers (""I like to dissect girls, did you know I'm utterly insane"") just to see if they are listening to him. They either are not, or they think that he is joking. In the movie's climactic scene, Bateman calls his lawyer and leaves a lengthy, detailed message confessing his crimes. He later runs into his lawyer, who mistakes him for someone else and dismisses the confession as a joke, also claiming to have had dinner with one of his victims after Bateman had supposedly killed him, leaving the supposed reality of Bateman's acts open to audience interpretation.
",https://en.wikipedia.org/wiki/Patrick_Bateman
peter,lost souls,150,Adult,Unknown,Atheist,USA,Played by Ben Chaplin,"I like to think I'm the actual needle on the compass. Morality is which way you're facing depending on the dilemma, but the needle, it always points north.",True,u6398,m426,A man,,
tom,broadcast news,184,Adult,Television Reporter,Unknown,USA,SEVEN YEARS LATER: the three meet again. Tom has taken over as national anchorman. Tom leaves after Jane declines a dinner invitation with him and his fiancée.,I like you as much as I can like anyone who thinks I'm an asshole.,True,u4281,m285,A man,"Tom Grunick is a local news anchorman who started his career in sports. Tom is tall, handsome, likable, and telegenic, but lacks news experience and isn't especially bright. He constantly seeks help from Jane to assist him with his reporting. Tom is attracted to Jane, but is intimidated by her skills and intensity.",https://en.wikipedia.org/wiki/Broadcast_News_(film)
william,notting hill,243,Adult,Bookshop Owner,Unknown,England,Played by Hugh Grant.,"I live in Notting Hill. You live in Beverly Hills. Everyone in the world knows who you are, my mother has trouble remembering my name.",True,u6912,m462,A man,"William Thacker owns a travel book store in Notting Hill, London. Divorced, Will shares a flat with Spike. Will has an impulsive relationship with Anna. The two meet several times, but Will eventually decides he cannot handle being hurt anymore, until his friends encourage him to find Anna again. ",https://en.wikipedia.org/wiki/Notting_Hill_(film)
ruby,kids,50,Teen,High School Student,Unknown,USA,,I looooove sex.,True,u1691,m111,A woman,,
nicky,casino,290,Adult,Representative of the Midwest Mafia Boss and Hitman,Unknown,USA,"He is based off real life Chicago Outfit enforcer Anthony John ""The Ant"" Spilotro.","I lost control? Look at you, you're fucking walking around like John Barrymore! A fucking pink robe and a fucking cigarette holder? I lost control?",True,u4359,m289,A man,"Nicky Santoro is a sociopath. His hot temper causes him to act impulsively, as he will kill anyone whom he sees as a threat but he can attack innocent people too. However, Nicky is a family man and he never gets angry with his family. Although he is a violent gangster, Nicky is shown to have high standards. He gets angry at a degenerate gambler and at his friend for putting his feet on a casino table. Nicky is also disgusted at hitman Tony Dogs for shooting an innocent waitress when she shouldn't have been working and he gets angry at Ginger for flippantly asking him to kill his friend of 35 years.",https://villains.fandom.com/wiki/Nicky_Santoro
kilgore,apocalypse now,51,Adult,U.S. Army Lieutenant,Unknown,USA,,I love the smell of napalm in the morning. ,True,u3752,m247,A man,"Kilgore befriends Lance after discovering his surfing experience and agrees to escort them through the Nùng's Viet Cong–held coastal mouth.  He and his men then proceed to mercilessly kill, shoot and blow up numerous innocent civilians, showing a complete and utter disregard for civilian and human life, and showing Kilgore as what he is, a bloodthirsty, sadistic and amoral warmonger. He is willing to involve innocent civilians in his reign of mass murder and destruction, and shows no guilt for his deeds.",https://villains.fandom.com/wiki/Bill_Kilgore
kate,only you,169,Young Adult,Unknown,Unknown,USA,,I married a liar. Why? Because I married a man.,True,u6944,m464,A woman,"Kate is Faith's sister-in-law. In Italy, a suave Italian businessman named Giovanni has been wooing Kate. Kate reconciles with her husband Larry. ",https://en.wikipedia.org/wiki/Only_You_(1994_film)
helen,true lies,120,Adult,Stay-At-Home Mum,Unknown,USA,,I married Rambo!,True,u8624,m585,A woman,"Helen and their daughter, Dana, believe Harry is a computer salesman, not knowing her really works for the secretive Omega Sector. She becomes bored in her suburban housewife life.",https://truelies.fandom.com/wiki/Helen_Tasker
skip,mumford,79,Adult,Billionaire computre mogul,Unknown,USA, ,"I may be young, but Doc can tell you that I'm very immature.",True,u2199,m141,A man,"Full name Skip Skipperton. Patient of Dr. Mumford. He's a billionaire computer mogul that Mumford tried to set up with cafe waitress, Lily.",https://en.wikipedia.org/wiki/Mumford_(film)
nicole,the sweet hereafter,104,Teen,Aspiring Songstress,Unknown,Canada,,"I mean, I'm a wheelchair girl now. And it's hard to pretend that I'm a beautiful rock star.",True,u8046,m545,A woman,"Nicole Burnell, a 15-year-old paralyzed from the waist down as a result of the accident. Before the accident, Nicole was an aspiring musician and was being sexually abused by her father, Sam. In the pretrial deposition, Nicole unexpectedly accuses the bus driver Dolores of speeding.",https://en.wikipedia.org/wiki/The_Sweet_Hereafter_(film)
hooks,snow falling on cedars,65,Adult,Prosecuting Attorney,Unknown,American Pacific,,I merely want to know what the facts are.,True,u7696,m520,A man,Alvin Hooks is working on the prosecution on Kabuo's trial. ,https://en.wikipedia.org/wiki/Snow_Falling_on_Cedars_(film)
hana,the english patient,136,Adult,Nurse,Unknown,(French) Canada,,"I must be a curse. Anybody who loves me, anybody who gets close to me... or I must be cursed. Which is it?",True,u5051,m334,A woman,"Hana is a twenty-year-old Canadian Army nurse torn between her youth and her maturity. Being a good nurse, she quickly learns that she cannot become emotionally attached to her patients. Hana comes to believe that she is cursed and that all those around her are doomed to die.",https://en.wikipedia.org/wiki/The_English_Patient
vivian,pretty woman,225,Adult,Sex Worker,Unknown,USA,,I never had anyone make me feel as cheap as you did today.,True,u7142,m479,A woman,"Vivian is presented as a street-smart prostitute who finds herself in the enviable position of being hired to spend a week with one of the wealthiest most eligible bachelors in town. Naturally, she falls in love with him. ",https://moviedatabase.fandom.com/wiki/Vivian_Ward
gibbons,xxx,63,Adult,National Security Agent,Unknown,USA,Played by Samuel L Jackson,"I noticed you have three X's tattooed on the back of your neck. I think that's rather appropriate, since you're looking at three strikes.",True,u8991,m613,A man,"Augustus Gibbons is a high-ranking official in the National Security Agency who has the power to give xXx a pardon for his crimes. He uses this fact as leverage to recruit xXx for a mission he knows xXx is the only person with the possibility of succeeding- infiltrating Anarchy 99-, recognising the benefits of xXx's rebellious attitude and unorthodox methods.",https://en.wikipedia.org/wiki/XXX_(2002_film)
gabriel,reindeer games,121,Adult,Criminal Gun Runner,Unknown,USA,,"I read your letters, convict. Don't play no reindeer games with me.",True,u2596,m169,A man,"Gabriel Mercer runs a criminal gang that consists of henchman Merlin, Jumpy, and Pug and drives guns in the semi-truck. He meets with Ashley Mercer and became lovers. Gabriel strong-arms Rudy into helping him rob a casino.",https://villains.fandom.com/wiki/Gabriel_Mercer
nathan,human nature,192,Adult,"Psychologist, Scientist",Unknown,USA,"As the film is largely a flashback, Nathan is shown across different ages, but still as an adult. ","I realize that love is nothing more than a messy conglomeration of need, desperation, fear of death and insecurity about penis size.",True,u1407,m93,A man,"Nathan Bronfman is a psychologist researching the possibility of teaching table manners to mice. Nathan performs conditioned reinforcement training on Puff, inculcating him with a veneer of fine manners and high culture, in spite of which Puff still has difficulty controlling sexual urges. To demonstrate his success, Nathan takes Puff on tour but his relationship with Lila deteriorates and he is later killed by Puff.",https://en.wikipedia.org/wiki/Human_Nature_(2001_film)
francesca,the bridges of madison county,211,Adult,Farmers' Wife,Unknown,Italy,Played by Meryl Streep,"I realized love won't obey our expectations, it's mystery is pure and absolute.",True,u4183,m279,A woman,"Italian war bride, Francesca Johnson, lives with her husband and two children on their Iowa farm. That year she meets National Geographic photojournalist, Robert Kincaid, who comes to Madison County to photograph its historic covered bridges. With Francesca's family away for a short trip, the couple have an intense, four-day love affair. ",https://en.wikipedia.org/wiki/The_Bridges_of_Madison_County_(film)
harry,get shorty,122,Adult,B Movie Director,Unknown,USA,,"I said I'd think about it. In this town, what does that mean? Nothing!",True,u1077,m70,A man,"Harry lives in LA. When Chili comes to collect Harry's debt, Harry persuades Chili to help him placate his investor Bo Catlett, owner of a limo service that serves as a drug front. Having gambled away Bo's $200,000 investment, Harry shows him the script he really wants to make, Mr. Lovejoy, but the screenwriter's widow Doris controls the rights. Harry is jealous of Chili and Karen's partnership. Harry likes Karen, who is a scream queen. After being seduced by Doris, Harry drunkenly calls Bones and tells him that Chili has Leo's money. Harry, is brutally beaten by Bones because of the money. Harry is framed for the murder of Ronnie. ",https://en.wikipedia.org/wiki/Get_Shorty_(film)
alex,final destination,64,Teen,High School Student,Unknown,USA,,"I saw it. Like, I don't know I just saw it.",True,u5289,m350,A man,"Alex Browning is among a group of high school students readying themselves for a trip to Europe. When he suddenly has a premonition their airplane will crash, he screams to warn the others but instead he is thrown off of the plane along others, but the plane actually crashes after they get off. Alex must now work out Death's plan, as each of the survivors falls victim. Whilst trying to prevent the next death, Alex must also dodge the FBI, who believe that he caused the explosion. Alex is terrified and tries to warn people. He tries to be brave. ",https://finaldestination.fandom.com/wiki/Alex_Browning
wesley,nurse betty,100,Adult,Hitman,Unknown,USA,,I saw your TV movie. It sucked! Hasselhoff blew you off the screen!,True,u2389,m152,A man,"Wesley is a hitman who is sent to Del and Betty with his colleague Charlie. Charlie's heart begins to soften towards Betty, to Wesley's consternation. Wesley is revealed to be Charlie's son. He is shot dead.",https://en.wikipedia.org/wiki/Nurse_Betty
cole,the sixth sense,127,Child,Schoolkid,Unknown,USA,,I see dead people.,True,u2786,m182,A man,"Cole Sear is 9 years old. He has poor social skills. At a birthday party, Cole is cornered by bullies who lock him in a cupboard, causing him to scream in terror before passing out. Following this incident, Cole finally confides to Malcolm that he sees ghosts walking around like the living, but they only see what they want to see and are unaware that they are dead. Learning to not be afraid of the ghosts he sees, Cole begins to fit in at school and is cast as the lead in the school play, with the ghost of a dead teacher helping coach him. Cole's mother finally accepts him.",https://en.wikipedia.org/wiki/The_Sixth_Sense
charlie,top gun,130,Adult,"Astrophysicist, Pilot Instructor",Unknown,USA,,"I see some real genius in your flying, Maverick, but I can't say that in there. I was afraid that everyone in the TACTS trailer would see right through me, and I just don't want anyone to know that I've fallen for you.",True,u3311,m220,A woman,"Charlotte ""Charlie"" Blackwood is a civilian contractor at TOPGUN. She was also a love interest of LT Pete ""Maverick"" Mitchell. She told Maverick she doesn't date students but that is proven to be false. ",https://topgun.fandom.com/wiki/Charlotte_Blackwood
plissken,escape from l.a.,91,Adult,Former Special Forces Officer,Unknown,USA, ,"I shut down the third world, you win they lose. I shut down America, they win, you lose. The more things change, the more they stay the same.",True,u5120,m339,A man,"Snake Plissken is a former Special Forces operator/war hero in World War III turned criminal and he is shown as being very cynical and appears to be willing to do anything to survive. He is terse, stern in his speech, and frequently shows coolness and level-headed thinking under extremely stressful situations. Although he will kill without remorse or hesitation, he does not kill for fun or when it is unnecessary.",https://en.wikipedia.org/wiki/Snake_Plissken
nell,the haunting,97,Adult,Sleep Experiment Subject,Unknown,USA,,I studied purgatory. I was there once for eleven years. It's when your soul is caught between the living and the dead.,True,u8123,m551,A woman,"Eleanor ""Nell"" Vance, an insomniac, has cared for her invalid mother for 11 years, sharing a Boston apartment with her. After her mother dies, Nell's sister Jane and her husband Lou inherit the residence. They eject Nell to prepare for a sale. As she faces homelessness, Nell accepts an invitation to participate in an insomnia study by Dr. David Marrow at Hill House. Nell becomes determined to prove that the house is haunted. Realizing that he thrived on the fear he created in children, Nell declares she is not afraid of Crain. Nell dies at the end, but the spirits release her from going to purgatory for her bravery. Nell’s soul, along with those of the freed children, rise to heaven.",https://en.wikipedia.org/wiki/The_Haunting_(1999_film)
henry,indiana jones and the last crusade,103,Elderly,Professor,Unknown,Scotland,Played by Sean Connery,I suddenly remembered my Charlemagne. Let my armies be the rocks and the trees and the birds in the sky...,True,u1456,m98,A man,"Dr. Henry Walton Jones, Senior was a professor of medieval literature, expert on Grail lore, the father of archaeologist Indiana Jones, and the husband of Anna Mary Jones. Jones had a difficult relationship with his son which worsened following the untimely death of Anna in 1912. The two drifted further apart but when the Joneses were reunited during their search for the Holy Grail years later, near-death experiences of both undid their estrangement and strengthened the connection between father and son.","https://indianajones.fandom.com/wiki/Henry_Walton_Jones,_Senior"
sorsha,willow,18,Adult,Second in Command of Army,Unknown,Tir Asleen, ,I suppose my power enchanted you and you were helpless against it.,True,u8935,m608,,"Sorsha is the tritagonist of Willow. She was the daughter of Queen Bavmorda and Prince Mikal Tanthalos of Tir Asleen. She was second in command of the military, under General Kael.
Sorsha was there when Elora Danan the infant destined to destroy Bavmorda was born and went to notify her mother. Then she was tasked with finding Ethna who escaped the Nockmaar dungeons with the baby. She was too late and could not find where the dead nursemaid had hidden Elora. Bavmorda then tasked Kael to aid her.However, Sorsha would later discover the baby and her guardian, the Nelwyn Willow Ufgood in a roadside inn but they got away from them. Sorsha met the team again when her forces captured the baby and while escaping her camp, Madmartigan fell under the spell of a fairy love dust (dust of broken hearts) and professed undying devotion and affection to Sorsha. She would later fall to Madmartigan as he defended Tir Asleen, impressed by his daring and heroism.
This fulfilled the omen that Sorsha would turn against her mother. She rejected her wicked past and vowed to put an end to her mother's treachery. With Madmartigan she joined the knights of Galladoorn against Nockmaar. Once Bavmorda was defeated, Sorsha married Madmartigan and lived with him in her childhood home of Tir Asleen.",https://willowufgood.fandom.com/wiki/Sorsha
enid,ghost world,469,Young Adult,High School Graduate,Unknown,USA,Played by Thora Birch. ,I think only stupid people have good relationships,True,u1094,m72,A woman,"Best friends Enid and Rebecca face the summer after their high school graduation, with no plans for their future other than to find jobs and live together. The girls are cynical social outcasts. Enid's diploma is withheld on the condition that she attend a remedial art class. Even though she is a talented artist, her art teacher, Roberta, believes that art must be socially meaningful and dismisses Enid's sketches as nothing more than ""light entertainment"".",https://en.wikipedia.org/wiki/Ghost_World_(film)
triplette,nashville,54,Adult,Political Organiser,Unknown,USA,,"I think people down here feel that movie stars are eccentric, crazy, communists. A lot of them are.",True,u6801,m453,A man,"John Triplette is Walker's political organizer. Bill and Mary argue in their hotel room and are interrupted by Triplette, who recruits them to perform at the gala. Triplette and Del convince Sueleen to perform a striptease in exchange for a slot at the gala. ",https://en.wikipedia.org/wiki/Nashville_(film)
dave,dave,206,Adult,President Bill Mitchell impersonator; Runs a temp agency,Unknown,USA, ,I think there are certain things you should expect from your president. I had to care more about you than I do about me. I had to care more about what's right than I do about what's popular.,True,u4752,m316,A man,"Dave Kovic runs a temporary employment agency in Georgetown, Washington, D.C. and impersonates President Bill Mitchell as a side job. Secret Service agent Duane Stevenson recruits him to impersonate Mitchell after a speech, ostensibly as a security precaution, but in reality to cover up Mitchell’s affair with a staffer. Dave’s appearance goes well, but Mitchell suffers a major stroke while having sex, leading White House Chief of Staff Bob Alexander and Communications Director Alan Reed to ask Dave to continue in his role. Bob’s scheme is to force Vice President Gary Nance, a good man, to resign after purposefully embroiling him in a savings and loan scandal, and then have Dave, acting as Mitchell, appoint Bob as vice president, whereupon they will reveal Mitchell’s incapacity and Bob will become president. Alan is initially reluctant to agree to the plan, but eventually acquiesces and tells the press corps the stroke was minor. Dave agrees to keep impersonating Mitchell and Nance is sent on a good will tour of Africa.
Dave's charm and enthusiasm for life changes Mitchell’s previously grumpy image and increase his popularity. First Lady Ellen Mitchell, who has been privately estranged from her husband for years, is initially convinced that Dave is her husband and treats him with contempt on the few occasions they see each other. When Dave accompanies her to a homeless shelter, for which she is a staunch advocate, she sees his empathy towards a shy boy and begins to soften towards him. Her fury returns, though, after Bob forges Mitchell’s signature on the veto of a public works bill that included funding for the shelter. Dave, after consulting his accountant friend Murray Blum, works with the Cabinet to restore the funding. A furious Bob threatens to destroy Dave, but Alan vows to expose their scheme if he does. Ellen, having witnessed Dave's considerable efforts to save the shelter, confronts Dave and he admits he is an impostor. Dave has Duane escort them to the secret hospital room beneath the White House, where Mitchell remains in a coma. They both resolve to leave the White House, but become closer after spending a night out alone together. Ellen tells Dave she's gone along with the charade of being happily married to Bill because she thought she could help people as First Lady. Dave tells her he wishes he could do the same. They begin to fall in love and choose to stay.

The next day, Dave calls a press conference and, when Bob fires him, threatens to tell the press corps the truth about Mitchell. He orders Bob to resign and announces a plan to provide a job to every American who wants one. Nance returns from Africa and pleads his innocence of the scandal to Dave, who hears about Bob’s plot from Alan. To get back at Dave, Bob reveals evidence implicating Mitchell in the scandal, which Alan admits is true. Despite talk of impeachment, Dave refuses to back off his jobs plan. During a joint session of Congress, Dave admits that Bob’s allegations are true and takes responsibility for the scandal. He produces proof, furnished by Alan, that shows Bob was directly involved and Nance is innocent. As he continues his speech, he fakes another stroke and switches bodies with Mitchell on the way to the hospital, enabling him to resume his previous life. The hospital pronounces the ""second"" stroke as major and Mitchell continues to lie in a coma for several more months before dying. Nance becomes president, Bob and several administration officials are eventually indicted, and the jobs plan becomes law. Dave runs for city council with the help of Murray and his staff at his employment agency. Dave is surprised one day when Ellen visits. He escorts her into his office where they share their first kiss. Dave closes the shades to give them privacy and Duane steps in front of the door, wearing one of Dave’s campaign buttons.",https://en.wikipedia.org/wiki/Dave_(film)
wade,affliction,256,Adult,Policeman,Unknown,USA,Played by Nick Nolte. Neo-Noir film based on the 1989 novel of the same name by Russell Banks.,I think there's some dirty business going on in this town.,True,u154,m10,A man,"Wade Whitehouse is a small-town policeman in New Hampshire. On Halloween night, Wade meets his daughter Jill, but he is late and the evening is overshadowed by disharmony. Jill eventually calls her mother, Wade's ex-wife, to come and pick her up. When his ex-wife finally arrives, Wade shoves her lover against their car and watches them drive away with Jill. Wade vows to get a lawyer to help gain custody of his daughter.
The next day, Wade rushes to the scene of a crime. Jack Hewitt, a local hunting guide, claims that Evan Twombley, with whom he was hunting, accidentally shot and killed himself. The police believe Jack, but Wade grows suspicious, believing that the man's death was no accident. When he is informed that the victim was scheduled to testify in a lawsuit, his suspicion slowly turns into conviction.
A while later, Wade and his girlfriend Margie Fogg arrive at the house of Wade's alcoholic father, Glen Whitehouse, whose abusive treatment of Wade and Rolfe as children is seen in flashbacks throughout the film. Wade finds his mother lying dead in her bed from hypothermia. Glen reacts to her death with little surprise, and later gets drunk at her wake and gets into a fight with Wade.
Rolfe, who has come home for the funeral, suggests at first that Wade's murder theory could be correct, but later renounces himself of this presumption. Nonetheless, Wade becomes obsessed with his conviction. When Wade learns that town Selectman Gordon Lariviere is buying up property all over town with the help from a wealthy land developer, he makes the solving of these incidents his personal mission. Suffering from a painful toothache and becoming increasingly socially detached, he behaves more and more unpredictably. He follows Jack, convinced that Jack is running away from something and is involved in a conspiracy. After a car chase, a nervous Jack finally pulls over, threatens Wade with a rifle, shoots out his tires, and drives off.
Finally, Wade is fired for harassing Jack and trashing Lariviere's office. He collects Jill from her mother's house, where his ex-wife furiously castigates him over his plans to sue for full custody. At a local restaurant, he attacks the bartender in front of his daughter. Then Wade takes Jill home to find Margie leaving him. Wade grabs Margie and begs her to stay, but Jill rushes up and tries to stop the fight. In response, Wade angrily pushes Jill, giving her a bloody nose forcing both her and Margie to drive off.
Wade is then approached by Glen, who congratulates him for finally acting as a ""real man"". The latent aggression between the men culminates in another fight in which Wade accidentally kills his father. He burns the corpse in the barn, sits down at the kitchen table and starts drinking.
Rolfe's narration reveals that Wade eventually murdered Jack and left town (possibly to Canada, where Jack's truck was found three days later), never to return. Rolfe relates that the town later became part of a huge ski resort partly organized by Gordon Lariviere, but having nothing to do with either Jack or Twombley. Rolfe concludes that someday a vagrant resembling Wade might be found frozen to death, and that will be the end of the story.",https://en.wikipedia.org/wiki/Affliction_(1997_film)
grace,the horse whisperer,120,Teen,High School Student,Unknown,USA,,I think we should put him down. It's not fair to let him suffer.,True,u5678,m376,A woman,"In Lake Luzerne, New York, teenager Grace MacLean and her best friend Judith go out early one winter's morning to ride their horses, Pilgrim and Gulliver. As they ride up an icy slope, Gulliver slips and hits Pilgrim. Both horses fall, dragging the girls onto a road and get hit by a tractor-trailer. Judith and Gulliver are killed, while Grace and Pilgrim are both severely injured. Grace, left with a partially amputated right leg, is bitter and withdrawn after the accident. Meanwhile, Pilgrim is traumatized and uncontrollable to the extent that it is suggested he be put down. Grace's mother, Annie, senses that somehow Grace's recovery is linked with Pilgrim's. Grace reluctantly agrees to take part in the process of healing Pilgrim with Tom, and she and Annie go to stay at the Booker ranch where Tom lives with his brother and his brother's family. Tom also asks Grace to tell him what happened with her and Pilgrim to understand what Pilgrim is feeling. At first, Grace is reluctant, but eventually gathers up her courage, and tearfully describes the accident. Soon, with Tom's help, Grace finally takes the last step to heal herself and Pilgrim – riding Pilgrim again. ",https://en.wikipedia.org/wiki/The_Horse_Whisperer_(novel)
larry,hellraiser,88,Adult,Unknown,Unknown,USA,Played by Andrew Robinson,I thought this kind of stuff made you sick?,True,u1308,m87,A man,"Larry Cotton remained married to Kirsty's true mother until her death from natural causes. Years later, he met Julia, and proposed marriage to her, eventually she became his second wife. He was most caring about his daughter Kirsty. He had a tough life and all he was trying to do is keep his family together. He knew that Kirsty disliked Julia, although he understood how come, he tried to quash any family discourse. He encouraged Kirsty to give her stepmother a chance. On the eve of Larry's second marriage, his brother Frank arrived along with other friends and family in anticipation of the wedding. Frank, a selfish and arrogant man, seduced Julia almost immediately and the two had sex in Larry's bedroom. While Larry never gained awareness of this, it was assumed that he lost contact with Frank. Years later, Frank's house was seized by the local government for nonpayment of taxes. It was auctioned off and Larry made the winning bid to buy it back. He moves into the house along with Julia. Kirsty is invited to live with them, but she opts for a place of her own, having come to dislike Frank from taking notice of his leering of Julia. When they ask about Frank's absence, Larry believes that Frank, who has earned a reputation for licentiousness, is off on one of his philandering globetrotting trips, as well as skipped town to avoid his creditors. While moving a mattress to the attic, Larry cuts himself on a nail and drips blood onto the floor. The floor was the same place where Frank had been captured by the Cenobites upon opening a Lemarchard's Box. Larry's blood allows Frank to escape Hell, albeit in a skeletal and skinless state.",https://hellraiser.fandom.com/wiki/Larry_Cotton
betsy,i walked with a zombie,128,Adult,Nurse,Unknown,Canadian,Played by Frances Dee,I thought voodoo was something everyone was frightened of?,True,u5976,m396,A woman,"Betsy Connell is an canadian nurse who's been hired to care for Jessica Holland, the wife of Paul Holland, who is the owner of a sugar plantation on the Caribbean island of Saint Sebastian. She arrives on Saint Sebastian, which is populated by the descendants of African slaves and a small white community of doctors and officials. Betsy is taken to Fort Holland, where she is told the story of how the Hollands brought the slaves to the island, learning that the statue of ""Ti-Misery"" in the Hollands' courtyard comes from the figurehead of a slave ship — it is an effigy of Saint Sebastian with arrows in it. That night at dinner, Betsy is joined by Paul’s half-brother Wesley Rand and talked about their mutual mother, Mrs Rand. While getting ready for bed, Betsy hears a woman crying from across the courtyard. She goes to investigate and ends up in the tower stairwell. She begins to ascend the stairs when she is cornered by Jessica Holland, who walks towards her like a ghost in a light robe, her eyes staring. Betsy screams for help, waking most of the household. Paul takes Jessica back to bed. The next morning, Betsy meets Jessica's physician, Dr. Maxwell, who explains that his patient's strange sleepwalking condition is caused by an incurable tropical fever. On her day off, Betsy encounters Wesley in town. While he drinks himself into a stupor, a calypso singer sings about how Jessica was going to run away with Wesley, but Paul would not let them go; she was then struck down by the fever. Betsy meets Mrs. Rand, Paul and Wesley's doctor mother. That night at dinner, Wesley accuses Paul of being responsible for Jessica's condition. Later, Paul, whom Betsy has been falling in love with, apologizes to her for bringing her to the island, and admits that he may have been the cause of his wife's condition. Betsy determines to make him happy is by curing Jessica.Betsy gets Paul to agree to try a potentially fatal insulin shock treatment on Jessica, but it has no effect. Housemaid Alma then tells her that a houngan, or voodoo priest, cured a woman of a similar condition. Betsy takes Jessica without permission through cane fields past a crossroads guarded by Carrefour to the houmfort.Mrs. Rand explains that she uses voodoo to convince the natives to accept conventional medical practices and tells Betsy that Jessica is incurable. Outside, the locals stab Jessica in the arm with the sword as a test. When she does not bleed, they are convinced she is a zombie. Betsy takes Jessica home. Paul is furious, but is moved when he realizes that Betsy was trying to cure Jessica. The local authorities investigate the next day, and the natives demand that Jessica be returned to them for further ritualistic tests. Later, Carrefour approaches the residence, and Mrs. Rand orders him to leave. Paul suggests that Betsy return to Canada, regretting entangling her in his family problems and fearful of demeaning and abusing her as he did Jessica. Betsy reluctantly agrees. The next day, Dr. Maxwell reports that the unrest has sparked an official inquiry into Jessica's illness. Mrs. Rand claims that Jessica is a zombie. Although she had never taken voodoo seriously before, Mrs. Rand reveals that when she discovered that Jessica was planning to run away with Wesley and break up her family, she felt herself possessed by a voodoo god. She then put a curse on Jessica. Paul, Maxwell and Betsy dismiss her story, but Wesley becomes obsessed with freeing Jessica. He asks Betsy if she would consider euthanasia, but she refuses. Using an effigy of Jessica, the sabreur twice attempts to draw her to him from afar. Paul and Betsy stop her the first time, but Wesley allows Jessica to leave the second time. Wesley pulls an arrow out of the statue of Ti-Misery and follows. As the sabreur stabs the doll with a pin, Wesley thrusts the arrow into Jessica. He then carries her body into the sea, pursued slowly by Carrefour. Later, the natives discover the bodies of Jessica and Wesley floating in the surf.",https://zombie.fandom.com/wiki/I_Walked_With_A_Zombie
ray,blood simple.,53,Adult,Bartender,Unknown,USA,,I told you. I liked you,True,u4105,m274,A man,"Ray is one of Marty's employees and he is having an affair with Abby, Marty's wife. As Ray and Abby realize that Marty has found out about them, it allows them to plan for their future away from Marty, while being up front with Marty about the situation. Ray is not the hero in this story. He doesn’t even manage to defend the woman he supposedly wants to be with. Ray’s mistake is in thinking that Abby killed Marty and he doesn’t even think to ask her. Ray’s judgment is in question throughout, especially as it’s not entirely clear whether he loves Abby. Ray is unassertive. ",https://www.fandom.com/articles/examining-coen-bros-blood-simple
klute,klute,169,Adult,Private Detective,Unknown,USA,,I understand you use narcotics. Maybe I can have a policeman come here and look at your... arms.,True,u6208,m415,A man,"Detective John Klute to investigate Gruneman's disappearance. Klute rents an apartment in the basement of Bree's building, taps her phone and follows her as she turns tricks. Cleverly, Klute connects the apparent suicides of two prostitutes, surmising that the client was using Gruneman's name. He also thinks the client killed Gruneman and might kill Bree next. Klute helps Bree vacate her apartment. ",https://en.wikipedia.org/wiki/Klute
barnes,sphere,188,Adult,Ship Captain,Unknown,USA,,"I want a full name for my report. I'm not putting in my report that I lost a crew member on a deep-sat expedition to find an alien named ""Jerry"".",True,u7805,m528,A man,"U.S. Navy Captain Harold Barnes is part of a group of experts assembled and taken to the Habitat, a state-of-the-art underwater living environment located near the spacecraft. ",https://en.wikipedia.org/wiki/Sphere_(1998_film)
